"Treatment";"VisitorKnown";"ViewsOnSale";"ViewedBeforePageCART";"HadBasketAdd";"WasConvertedBefore";"TimeSinceLastVisit";"TimeSinceLastConversion";"TimeOnProduct";"TimeOnOverview";"TimeOnSale";"ClicksPerProduct";"ChannelPaid";"TimeToFirstSearch";"TimeToFirstOverview";"TimeToFirstProduct";"TimeToFirstCART";"TimeToFirstSale";"TimeSinceFirstCART";"NrDifferentProduct";"TimeToBasketAdd";"BasketQuantity";"NormalizedBasketSum";"TimeSinceClick";"TimeSinceTabSwitch";"ScreenWidth";"DurationLastVisit";"HourOfDay";"PageIsHome";"PageIsSearch";"PageIsProduct";"PageIsOverview";"PageIsSale";"Conversion"
1;0;3;0;0;0;3252568;3564135;0;75343;28807;"0";0;136;77;39;324;6;267;1;315;0;1;4;136;1280;806;6;0;0;0;0;1;0
1;0;6;0;0;0;3252568;3564135;24617;5849;104366;"0";0;136;0;24;324;7;267;6;315;0;1;1;26;1280;806;9;0;0;0;0;1;0
1;0;0;0;0;0;3252568;3564135;86319;143206;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;10;1280;806;11;0;0;0;1;0;0
1;0;0;0;1;0;3252568;3564135;38964;119914;100238;"2";0;136;0;127;324;90;267;1;167;1;4;4;39;1920;806;14;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;108161;433458;100238;"0";0;136;0;32;324;90;267;4;315;0;1;28;136;1280;806;19;0;0;0;1;0;1
1;0;0;0;0;0;3252568;3564135;86319;126427;100238;"0";0;136;0;114;324;90;267;0;315;0;1;1;60;1280;806;12;0;0;0;1;0;0
1;1;0;0;0;0;3252568;3564135;86319;108797;100238;"0";0;115;0;114;324;90;267;0;315;0;1;3;34;1366;806;7;0;1;0;0;0;1
1;0;0;0;0;0;3252568;3564135;0;108826;100238;"0";0;136;4;101;324;90;267;1;315;0;1;14;136;1829;806;9;0;0;0;1;0;0
1;0;2;0;0;0;3252568;3564135;86319;106200;63483;"0";0;136;0;114;324;1095;267;0;315;0;1;3;902;1280;806;14;0;0;0;0;1;0
1;0;0;0;0;0;3252568;3564135;32900;56881;100238;"2";0;136;10;159;324;90;267;1;315;0;1;4;136;1600;806;19;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;40120;63432;100238;"2";0;109;0;32;324;90;267;1;315;0;1;4;136;1280;806;7;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;26244;100238;"0";0;136;16;114;324;90;267;0;315;0;1;0;8;1366;806;18;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;9925;61132;100238;"0";0;136;0;38;324;90;267;2;315;0;1;2;7;1152;806;20;0;0;1;0;0;0
1;0;0;0;0;0;3252568;3564135;8666;22226;100238;"1";0;23;0;39;324;90;267;1;315;0;1;6;7;1536;806;13;0;1;0;0;0;1
1;0;1;0;1;0;3252568;3564135;86319;147445;0;"0";0;136;23;114;324;415;267;0;186;1;119;8;379;1600;806;16;0;0;0;0;1;1
1;0;0;0;0;0;3252568;3564135;8186;56219;100238;"0";0;136;0;22;324;90;267;3;315;0;1;1;136;1024;806;10;0;0;1;0;0;0
1;1;0;0;0;0;2320747;3564135;20680;83222;100238;"0";0;136;0;32;324;90;267;3;315;0;1;16;103;1366;191;18;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;16560;130144;100238;"0";0;136;0;19;324;90;267;2;315;0;1;2;65;1680;806;21;0;0;0;1;0;0
1;0;9;0;0;0;3252568;3564135;86319;75343;57869;"0";0;136;77;114;324;0;267;0;315;0;1;3;136;1366;806;12;0;0;0;0;1;0
1;0;0;0;0;0;3252568;3564135;0;52614;100238;"0";0;136;0;34;324;90;267;2;315;0;1;2;136;1280;806;22;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;0;162053;100238;"0";0;136;59;229;324;90;267;1;315;0;1;1;71;1360;806;15;0;0;1;0;0;1
1;0;2;0;0;0;3252568;3564135;86319;44063;28733;"0";0;136;59;114;324;25;267;0;315;0;1;2;136;3440;806;14;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;428445;100238;"0";0;136;0;114;324;90;267;0;315;0;1;3;41;1280;806;14;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;86319;26441;100238;"0";0;45;9;114;324;90;267;0;315;0;1;2;136;1280;806;16;0;1;0;0;0;1
1;0;0;0;0;0;3252568;3564135;86319;46199;100238;"0";0;136;26;114;324;90;267;0;315;0;1;1;6;1600;806;11;0;0;0;1;0;0
1;1;4;0;0;0;41897;3564135;17059;75343;118778;"1";0;136;77;123;324;0;267;1;315;0;1;14;136;1366;581;10;0;0;0;0;1;0
1;0;1;0;0;0;3252568;3564135;86319;29935;21226;"0";0;136;104;114;324;0;267;0;315;0;1;1;4;1920;806;7;0;0;0;1;0;0
1;0;0;0;0;0;3252568;3564135;7785;24263;100238;"0";0;136;320;0;324;90;267;2;315;0;1;106;461;1280;806;15;0;0;1;0;0;1
1;0;0;0;0;0;3252568;3564135;279454;75343;100238;"0";0;136;77;0;324;90;267;5;315;0;1;2;136;1024;806;20;0;0;1;0;0;1
