Conversion;Treatment;VisitorKnown;ViewsOnSale;ViewedBeforePageCART;HadBasketAdd;WasConvertedBefore;TimeSinceLastVisit;TimeSinceLastConversion;TimeOnProduct;TimeOnOverview;TimeOnSale;ClicksPerProduct;ChannelPaid;TimeToFirstSearch;TimeToFirstOverview;TimeToFirstProduct;TimeToFirstCART;TimeToFirstSale;TimeSinceFirstCART;NrDifferentProduct;TimeToBasketAdd;BasketQuantity;NormalizedBasketSum;TimeSinceClick;TimeSinceTabSwitch;ScreenWidth;DurationLastVisit;HourOfDay;PageIsHome;PageIsSearch;PageIsProduct;PageIsOverview;PageIsSale
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;90488;83294;667.088.239.658.343;2;0;139.346.467.067.547;0;42;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;1;143.125.195.099.837;1600;760.044.443.726.684;11;0;0;0;1;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;90488;83294;667.088.239.658.343;2;0;139.346.467.067.547;0;42;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;1;143.125.195.099.837;1600;760.044.443.726.684;11;0;0;0;1;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;90488;83294;667.088.239.658.343;2;0;139.346.467.067.547;0;42;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;1;143.125.195.099.837;1600;760.044.443.726.684;11;0;0;0;1;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;346091;260830;667.088.239.658.343;633.333.333.333.333;1;139.346.467.067.547;0;66;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;755;883;1280;760.044.443.726.684;20;0;0;0;1;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;52775;635.893.025.932.571;667.088.239.658.343;0;0;101;741.542.893.631.471;22;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;2;143.125.195.099.837;1680;760.044.443.726.684;13;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;52775;635.893.025.932.571;667.088.239.658.343;0;0;101;741.542.893.631.471;22;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;2;143.125.195.099.837;1680;760.044.443.726.684;13;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;52775;635.893.025.932.571;667.088.239.658.343;0;0;101;741.542.893.631.471;22;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;2;143.125.195.099.837;1680;760.044.443.726.684;13;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;52775;635.893.025.932.571;667.088.239.658.343;0;0;101;741.542.893.631.471;22;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;2;143.125.195.099.837;1680;760.044.443.726.684;13;0;0;1;0;0
0;0;0;2;1;1;0;417.332.515.234.465;387.402.608.257.218;595923;635.893.025.932.571;63259;614.285.714.285.714;0;139.346.467.067.547;741.542.893.631.471;0;850;764;493;4;623;1;306;236;236;1600;760.044.443.726.684;8;0;0;0;0;0
0;0;0;2;1;1;0;417.332.515.234.465;387.402.608.257.218;595923;635.893.025.932.571;63259;614.285.714.285.714;0;139.346.467.067.547;741.542.893.631.471;0;850;764;493;4;623;1;306;236;236;1600;760.044.443.726.684;8;0;0;0;0;0
