p2_uplift_seminarWI
Conversion;Treatment;VisitorKnown;ViewsOnSale;ViewedBeforePageCART;HadBasketAdd;WasConvertedBefore;TimeSinceLastVisit;TimeSinceLastConversion;TimeOnProduct;TimeOnOverview;TimeOnSale;ClicksPerProduct;ChannelPaid;TimeToFirstSearch;TimeToFirstOverview;TimeToFirstProduct;TimeToFirstCART;TimeToFirstSale;TimeSinceFirstCART;NrDifferentProduct;TimeToBasketAdd;BasketQuantity;NormalizedBasketSum;TimeSinceClick;TimeSinceTabSwitch;ScreenWidth;DurationLastVisit;HourOfDay;PageIsHome;PageIsSearch;PageIsProduct;PageIsOverview;PageIsSale
0;1;0;1;0;0;0;;;102855;11602;0;;0;;0;11;;2762;;4;;0;1;7;11;1920;;17;0;0;0;0;1
0;1;0;5;0;0;0;;;;;81162;;0;;;;;0;;0;;0;1;2;18;1680;;10;0;0;0;0;1
0;1;0;5;0;0;0;;;;;53288;;0;;;;;0;;0;;0;1;1;;1366;;12;0;0;0;0;1
1;1;0;0;0;0;0;;;82358;322626;;1;0;;280;401;;;;2;;0;1;89;101;1366;;14;0;0;0;1;0
1;1;1;0;0;0;0;264761;;0;179668;;0;0;;21;37;;;;5;;0;1;12;275;1600;164;21;0;0;0;1;0
1;1;0;0;0;1;0;;;80890;98440;;4;0;;83;0;;;;2;83;2;78;10;;1280;;9;0;0;0;1;0
0;1;1;2;0;0;0;2424715;;0;;83718;0;0;;;87;;0;;1;;0;1;1;;1680;3803;13;0;0;1;0;0
1;1;0;1;0;0;0;;;0;;21455;0;0;23;;131;;0;;1;;0;1;2;69;1366;;17;0;0;1;0;0
0;1;0;9;0;0;0;;;0;;155373;0;0;;;12;;0;;2;;0;1;1;;1680;;7;0;0;0;0;1
0;1;0;7;0;0;0;;;22300;;58720;;0;;;50;;0;;2;;0;1;8;15;1366;;9;0;0;0;0;1
0;1;0;6;0;0;0;;;;;136146;;0;;;;;0;;0;;0;1;6;;1366;;18;0;0;0;0;1
0;1;1;3;0;0;0;22800;;;;20977;;0;;;;;0;;0;;0;1;3;18;1600;103;9;0;0;0;0;1
1;1;0;0;0;0;0;;;0;51938;;0;0;93;28;82;;;;1;;0;1;10;57;1366;;10;0;1;0;0;0
0;1;0;0;0;0;0;;;21255;100971;;;0;;28;76;;;;4;;0;1;3;;1600;;15;0;0;0;1;0
0;1;1;2;0;0;0;;;;2687;50534;;0;;69;;;13;;0;;0;1;2;4;1366;;22;0;0;0;1;0
0;1;0;0;0;0;0;;;7945;83099;;1;0;;0;88;;;;1;;0;1;1;;1279;;7;0;0;0;1;0
1;1;0;0;0;0;0;;;;26412;;;0;988;956;;;;;0;;0;1;5;23;1680;;10;0;1;0;0;0
0;1;0;3;0;0;0;;;7551;13363;51036;3;0;;57;72;;0;;1;;0;1;4;9;1600;;10;0;0;0;1;0
1;1;1;4;0;0;0;;;135051;;125530;1;0;;;0;;136;;2;;0;1;9;;1920;;15;0;0;0;0;1
0;1;0;0;0;0;0;;;;40150;;;0;;22;;;;;0;;0;1;3;72;1366;;20;0;0;0;1;0
0;1;0;7;0;0;0;;;;;115524;;0;;;;;195;;0;;0;1;2;20;1680;;12;0;0;0;0;1
1;1;0;0;0;0;0;;;11136;268634;;2;0;;64;126;;;;2;;0;1;49;156;1366;;15;0;0;1;0;0
0;1;0;0;0;0;0;;;0;1274012;;0;0;;0;194;;;;2;;0;1;4;;1600;;8;0;0;0;1;0
0;1;0;7;0;0;0;;;58972;;369461;;0;;;33;;62;;2;;0;1;2;6;1600;;21;0;0;0;0;1
0;1;1;8;0;0;0;3491355;;;;193502;;0;;;;;0;;0;;0;1;3;;1680;250;9;0;0;0;0;1
0;1;0;0;0;0;0;;;;131524;;;0;;0;;;;;0;;0;1;5;;1600;;14;0;0;0;1;0
0;1;0;11;0;0;0;;;;;125161;;0;;;;;0;;0;;0;1;3;4;1920;;8;0;0;0;0;1
0;1;0;0;0;0;0;;;;38867;;;0;;0;;;;;0;;0;1;0;;1280;;7;0;0;0;1;0
0;1;0;8;0;0;0;;;;;264948;;0;;;;;0;;0;;0;1;1;40;1280;;17;0;0;0;0;1
0;1;0;4;0;0;0;;;16626;-3208812;71523;0;0;;165;211;;84;;1;;0;1;8;;1280;;8;0;0;0;1;0
0;1;0;9;0;0;0;;;8471;;119400;2;0;;;35;;8;;2;;0;1;4;;1360;;9;0;0;0;0;1
0;1;0;3;0;0;0;;;0;;89594;0;0;;;102;;7;;1;;0;1;1;22;1280;;9;0;0;1;0;0
0;1;0;4;0;0;0;;;;;97558;;0;;;;;5;;0;;0;1;5;95;1600;;15;0;0;0;0;1
1;1;0;0;0;0;0;;;;24003;;;0;4;47;;;;;0;;0;1;7;;1600;;16;0;0;0;1;0
0;1;0;1;0;0;0;;;38117;315715;20450;;0;;24;51;;0;;2;;0;1;15;40;1024;;8;0;0;0;1;0
